"Hot Spots - Method","Self time [%]","Self time","Invocations"
"cvm.ncb.oem.policy.PolicyManager.depthFirstSearchWithoutReturn(cvm.ncb.oem.policy.Feature, String)","1.691521E-4","0.105 ms","54"
"cvm.ncb.adapters.MockAdapter.destroySession(String)","1.6593015E-4","0.103 ms","1"
"cvm.ncb.adapters.MockAdapter.createSession(String)","1.6109724E-4","0.1 ms","2"
"cvm.ncb.oem.pe.actions.MediumAction.findConformingFramework(cvm.ncb.ks.Connection, String, cvm.ncb.oem.pe.PolicyEvalManager)","1.6109724E-4","0.1 ms","2"
"cvm.ncb.adapters.MockAdapter.sendSchema(String, String)","1.5626432E-4","0.097 ms","2"
"java.util.logging.LogManager$Cleaner.run()","1.514314E-4","0.094 ms","1"
"cvm.ncb.ks.UserIDMappingTable.lookupContact(String, String)","1.514314E-4","0.094 ms","4"
"cvm.ncb.adapters.NCBBridgeBase.addAParticipant(String, String)","1.4337654E-4","0.089 ms","2"
"cvm.ncb.repository.loader.FilePolicyLoader.loadFeatureTree()","1.4176557E-4","0.088 ms","2"
"cvm.ncb.csm.ThreadedQueue.enqueue(cvm.ncb.oem.pe.Call)","1.3371071E-4","0.083 ms","9"
"cvm.ncb.oem.policy.Feature.hasAttributeValue(String, Integer, int)","1.2887779E-4","0.08 ms","3"
"cvm.ncb.oem.pe.actions.SendSchemaAction.execute(cvm.ncb.oem.pe.actions.ActionContext, cvm.ncb.oem.pe.Call)","1.2565585E-4","0.078 ms","1"
"cvm.ncb.csm.BridgeExecutor.$createCallSiteArray()","1.224339E-4","0.076 ms","2"
"cvm.ncb.oem.policy.PolicyManager.getSupperFeatures(String)","1.1599001E-4","0.072 ms","6"
"cvm.ncb.oem.policy.Feature.addAttribute(cvm.ncb.oem.policy.Attribute)","1.1599001E-4","0.072 ms","34"
"cvm.ncb.oem.pe.PolicyEvalManager$ManagerContext.<init>(cvm.ncb.oem.pe.PolicyEvalManager)","1.14379036E-4","0.071 ms","7"
"cvm.ncb.oem.pe.actions.LoginAction.execute(cvm.ncb.oem.pe.actions.ActionContext, cvm.ncb.oem.pe.Call)","9.9880286E-5","0.062 ms","1"
"cvm.ncb.oem.policy.Feature.getAttribute(String)","9.665834E-5","0.06 ms","6"
"cvm.ncb.oem.pe.actions.CreateSessionAction.execute(cvm.ncb.oem.pe.actions.ActionContext, cvm.ncb.oem.pe.Call)","9.34364E-5","0.058 ms","1"
"cvm.ncb.oem.policy.PolicyManager$DesiredFeaturesList.addDesiredFeature(String, String, Object, int)","9.34364E-5","0.058 ms","4"
"cvm.ncb.oem.policy.Feature.<init>(String)","8.6992506E-5","0.054 ms","18"
"cvm.ncb.oem.policy.PolicyManager.reduceSet(java.util.TreeSet, cvm.ncb.oem.policy.PolicyManager.DesiredFeaturesList)","8.215959E-5","0.051 ms","2"
"cvm.ncb.csm.BridgeExecutor$_getMethod_closure1.$createCallSiteArray()","8.054862E-5","0.05 ms","2"
"com.intellij.rt.execution.junit.segments.Packet.addString(String)","8.054862E-5","0.05 ms","2"
"cvm.ncb.csm.BridgeExecutor.$createCallSiteArray_1(String[])","7.893764E-5","0.049 ms","2"
"cvm.ncb.ks.StateManager.getObjectInternal(String)","7.57157E-5","0.047 ms","4"
"cvm.ncb.oem.policy.PolicyManager.convertStringToInt(String)","7.2493756E-5","0.045 ms","4"
"cvm.ncb.oem.policy.PolicyManager.getConformingObjects(java.util.TreeSet, String, String, java.util.Map)","7.2493756E-5","0.045 ms","2"
"cvm.ncb.csm.ManagedObject.execute(String)","6.927181E-5","0.043 ms","2"
"cvm.ncb.oem.policy.Feature.hasAttributeValue(String, Object, int)","6.766084E-5","0.042 ms","6"
"cvm.ncb.oem.pe.actions.AddParticipantAction.execute(cvm.ncb.oem.pe.actions.ActionContext, cvm.ncb.oem.pe.Call)","6.443889E-5","0.04 ms","1"
"cvm.ncb.oem.policy.Feature.<init>(String, cvm.ncb.oem.policy.Feature)","6.443889E-5","0.04 ms","18"
"cvm.ncb.csm.ThreadedQueue.process(cvm.ncb.oem.pe.Call)","6.121695E-5","0.038 ms","14"
"com.intellij.rt.execution.junit.segments.SegmentedOutputStream.processPacket(String)","5.9605976E-5","0.037 ms","2"
"cvm.ncb.repository.FilePolicyRepository.loadFeatures()","5.316209E-5","0.033 ms","2"
"cvm.ncb.oem.pe.Call.getParam(String)","5.316209E-5","0.033 ms","1"
"cvm.ncb.oem.pe.PolicyEvalManager$ManagerContext.<init>(cvm.ncb.oem.pe.PolicyEvalManager, cvm.ncb.oem.pe.PolicyEvalManager.1)","4.9940143E-5","0.031 ms","7"
"cvm.ncb.oem.pe.ActionSignalHandler.canHandle(cvm.ncb.oem.pe.Call)","4.9940143E-5","0.031 ms","33"
"cvm.ncb.adapters.Mock2Adapter.getName()","4.9940143E-5","0.031 ms","1"
"cvm.ncb.repository.policy.Policy.<init>(cvm.ncb.repository.policy.Scope, cvm.ncb.repository.policy.Condition, cvm.ncb.repository.policy.BusinessValue, cvm.ncb.repository.policy.Decision, String, String)","4.9940143E-5","0.031 ms","18"
"cvm.model.CVM_Debug.getInstance()","4.5107226E-5","0.028 ms","34"
"com.intellij.rt.execution.junit.segments.OutputObjectRegistry.referenceTo(Object)","4.5107226E-5","0.028 ms","1"
"cvm.ncb.csm.BridgeExecutor$_getMethod_closure1.__$swapInit()","4.3496253E-5","0.027 ms","1"
"cvm.ncb.csm.BridgeExecutor$_getMethod_closure1.$get$$class$cvm$ncb$csm$BridgeExecutor$_getMethod_closure1()","4.3496253E-5","0.027 ms","2"
"edu.fiu.strg.ACSTF.manager.mape.Executer.doFunction()","4.3496253E-5","0.027 ms","1"
"com.intellij.rt.execution.junit.TestMeter.stop()","4.3496253E-5","0.027 ms","1"
"com.intellij.rt.execution.junit.segments.Packet.encode(String)","4.027431E-5","0.025 ms","2"
"cvm.ncb.ks.ObjectManager.getObject(String)","4.027431E-5","0.025 ms","3"
"com.intellij.rt.execution.junit.segments.Packet.addReference(String)","3.8663336E-5","0.024 ms","1"
"cvm.ncb.ks.StateManager.getConnection(String)","3.8663336E-5","0.024 ms","4"
"edu.fiu.strg.ACSTF.manager.mape.Planner.doFunction()","3.8663336E-5","0.024 ms","1"
"com.intellij.rt.execution.junit.segments.PacketWriter.appendLong(long)","3.7052363E-5","0.023 ms","5"
"cvm.ncb.oem.policy.PolicyManager$DesiredFeaturesList.<init>(cvm.ncb.oem.policy.PolicyManager)","3.5441393E-5","0.022 ms","2"
"cvm.ncb.csm.BridgeExecutor$_getMethod_closure1.<clinit>","3.5441393E-5","0.022 ms","1"
"cvm.ncb.oem.policy.Feature.addSubFeature(cvm.ncb.oem.policy.Feature)","3.383042E-5","0.021 ms","16"
"com.intellij.rt.execution.junit.segments.Packet.addObject(Object)","3.383042E-5","0.021 ms","1"
"cvm.ncb.ks.Connection.<init>(String)","3.2219446E-5","0.02 ms","1"
"cvm.ncb.repository.policy.BusinessValue.<init>(String, String)","2.8997503E-5","0.018 ms","18"
"cvm.ncb.ks.Connection.<clinit>","2.8997503E-5","0.018 ms","1"
"com.intellij.rt.execution.junit.TestMeter.usedMemory()","2.738653E-5","0.017 ms","1"
"cvm.ncb.repository.policy.Scope.<init>(String, String, String)","2.738653E-5","0.017 ms","18"
"cvm.ncb.repository.policy.Condition.<init>(String, String, String)","2.738653E-5","0.017 ms","18"
"edu.fiu.strg.ACSTF.resource.AbstractResource.<init>()","2.5775558E-5","0.016 ms","7"
"cvm.ncb.repository.policy.Decision.<init>(String, String, String)","2.5775558E-5","0.016 ms","18"
"cvm.ncb.oem.policy.Attribute.<init>(String, String)","2.5775558E-5","0.016 ms","34"
"cvm.ncb.oem.pe.PolicyEvalManager$ManagerContext.getObjectManager()","2.5775558E-5","0.016 ms","3"
"cvm.ncb.oem.pe.Call.<init>(String, java.util.Map)","2.4164585E-5","0.015 ms","7"
"com.intellij.rt.execution.junit.segments.OutputObjectRegistry.createPacket()","2.4164585E-5","0.015 ms","2"
"com.intellij.rt.execution.junit.segments.PacketWriter.sendThrough(com.intellij.rt.execution.junit.segments.PacketProcessor)","2.2553613E-5","0.014 ms","2"
"com.intellij.rt.execution.junit.segments.PacketWriter.<init>()","2.2553613E-5","0.014 ms","2"
"cvm.ncb.csm.BridgeExecutor.$get$$class$org$apache$commons$logging$Log()","2.2553613E-5","0.014 ms","1"
"com.intellij.rt.execution.junit.segments.OutputObjectRegistry.forget(Object)","2.0942642E-5","0.013 ms","1"
"cvm.ncb.adapters.NCBBridgeBase.getUserMapper()","2.0942642E-5","0.013 ms","2"
"com.intellij.rt.execution.junit.segments.Packet.<init>(com.intellij.rt.execution.junit.segments.PacketProcessor, com.intellij.rt.execution.junit.segments.OutputObjectRegistry)","2.0942642E-5","0.013 ms","2"
"cvm.ncb.csm.BridgeExecutor.__$swapInit()","1.9331668E-5","0.012 ms","1"
"cvm.ncb.csm.BridgeExecutor$_getMethod_closure1.$createCallSiteArray_1(String[])","1.7720697E-5","0.011 ms","2"
"cvm.ncb.ks.Connection.setFramework(cvm.ncb.csm.ManagedObject)","1.7720697E-5","0.011 ms","2"
"com.intellij.rt.execution.junit.segments.Packet.setTestState(Object, int)","1.7720697E-5","0.011 ms","1"
"com.intellij.rt.execution.junit.segments.PacketWriter.appendString(String)","1.6109723E-5","0.01 ms","3"
"cvm.ncb.csm.BridgeExecutor.$get$$class$org$apache$commons$logging$LogFactory()","1.6109723E-5","0.01 ms","1"
"cvm.ncb.oem.pe.actions.MediumAction.disableCurrentFramework(cvm.ncb.ks.Connection, cvm.ncb.csm.ManagedObject)","1.6109723E-5","0.01 ms","2"
"cvm.ncb.csm.ManagedObject.execute(cvm.ncb.oem.pe.Call)","1.4498752E-5","0.0090 ms","7"
"edu.fiu.strg.ACSTF.manager.knowledge.ChangeRequest.<init>(String)","1.4498752E-5","0.0090 ms","1"
"cvm.ncb.adapters.MockAdapter.getName()","1.2887779E-5","0.0080 ms","1"
"cvm.ncb.ks.UserIDMappingTable.<init>()","1.1276807E-5","0.0070 ms","1"
"com.intellij.rt.execution.junit.TestMeter.writeTo(com.intellij.rt.execution.junit.segments.Packet)","1.1276807E-5","0.0070 ms","1"
"com.intellij.rt.execution.junit.segments.Packet.addLong(long)","1.1276807E-5","0.0070 ms","5"
"cvm.ncb.ks.UserIDMappingTable.<clinit>","9.665834E-6","0.0060 ms","1"
"com.intellij.rt.execution.junit.segments.PacketWriter.getString()","8.054862E-6","0.0050 ms","2"
"com.intellij.rt.execution.junit.segments.Packet.send()","6.4438896E-6","0.0040 ms","2"
"cvm.ncb.oem.policy.Metadata.fail()","3.2219448E-6","0.0020 ms","1"
"edu.fiu.strg.ACSTF.manager.knowledge.Knowledge.dequeueChangePlan()","0.0","0.0 ms","1"
"edu.fiu.strg.ACSTF.manager.knowledge.Symptom.disable()","0.0","0.0 ms","1"
"edu.fiu.strg.ACSTF.manager.knowledge.Knowledge.dequeueChangeRequest()","0.0","0.0 ms","1"
"java.lang.ApplicationShutdownHooks$1.run()","0.0","0.0 ms","1"
