"Hot Spots - Method","Self time [%]","Self time","Invocations"
"cvm.sb.expression.ContextProviderWrapper.$getCallSiteArray()","0.0010733361","0.12 ms","78"
"cvm.ncb.oem.pe.actions.MediumAction.execute(cvm.sb.manager.ManagerContext, java.util.Map)","0.0010733361","0.12 ms","3"
"cvm.sb.emf.HandlerFactory.$getCallSiteArray()","0.0010107248","0.113 ms","14"
"cvm.sb.resource.bridge.CallExecutor$orderParameters.callCurrent(groovy.lang.GroovyObject, Object, Object)","0.0010017804","0.112 ms","11"
"cvm.sb.expression.ConditionEvaluator.$getCallSiteArray()","9.838914E-4","0.11 ms","25"
"cvm.sb.state.StateHolder.getId()","9.838914E-4","0.11 ms","14"
"cvm.ncb.oem.pe.actions.LoginAction.execute(cvm.sb.manager.ManagerContext, java.util.Map)","9.660025E-4","0.108 ms","1"
"cvm.sb.expression.ContextBinder.getBindable(sb.base.common.Bindable)","9.5705804E-4","0.107 ms","14"
"cvm.ncb.adapters.MockAdapter.addParticipant(String, String)","9.4811356E-4","0.106 ms","2"
"cvm.sb.policy.PolicyEvaluationManager.evaluate(cvm.sb.manager.SignalInstance, cvm.sb.manager.ManagerContext, sb.base.policy.PolicyEvaluationPoint)","9.3916914E-4","0.105 ms","24"
"cvm.sb.resource.ThreadedQueue.enqueue(cvm.sb.manager.SignalInstance)","9.3916914E-4","0.105 ms","10"
"cvm.sb.expression.CombinationEvaluator$evaluate.call(Object, Object, Object)","9.212802E-4","0.103 ms","7"
"cvm.sb.policy.PolicyManager.getSuperFeatures(java.util.Collection, String)","8.944468E-4","0.1 ms","8"
"java.util.logging.LogManager$Cleaner.run()","8.5866894E-4","0.096 ms","1"
"cvm.sb.expression.ConditionEvaluator.$get$$class$cvm$sb$expression$CombinationEvaluator()","8.4972446E-4","0.095 ms","7"
"cvm.sb.state.StateHolder.getAsSet(String)","8.22891E-4","0.092 ms","3"
"cvm.sb.expression.ConditionEvaluator.<init>(cvm.sb.expression.ContextBinder)","8.139466E-4","0.091 ms","8"
"cvm.sb.expression.ConditionEvaluator$_evaluate_closure1.<init>(Object, Object)","8.050021E-4","0.09 ms","7"
"cvm.sb.resource.bridge.CallExecutor$getMethod.callCurrent(groovy.lang.GroovyObject, Object, Object)","7.9605763E-4","0.089 ms","11"
"cvm.ncb.adapters.MockAdapter.enableMedium(String, String)","7.9605763E-4","0.089 ms","3"
"cvm.sb.autonomic.SignalRegistry.getSignalInstances(String)","7.781687E-4","0.087 ms","7"
"cvm.sb.manager.actions.ActionSignalHandler.handle(cvm.sb.manager.SignalInstance, cvm.sb.manager.ManagerContext)","7.781687E-4","0.087 ms","52"
"cvm.sb.expression.CombinationEvaluator.$createCallSiteArray()","7.6922425E-4","0.086 ms","2"
"cvm.sb.expression.ConditionEvaluator$_evaluate_closure1.$getCallSiteArray()","7.6922425E-4","0.086 ms","12"
"cvm.sb.expression.CombinedContextProvider.getVariable(String)","7.6922425E-4","0.086 ms","12"
"cvm.ncb.adapters.MockAdapter.createSession(String)","7.334464E-4","0.082 ms","2"
"cvm.sb.resource.bridge.ManagedResource.execute(cvm.sb.manager.SignalInstance)","7.155574E-4","0.08 ms","12"
"cvm.sb.expression.CombinationEvaluator$_evaluate_closure1.$getCallSiteArray()","7.155574E-4","0.08 ms","18"
"cvm.sb.expression.ContextProviderBinding.$getCallSiteArray()","7.0661295E-4","0.079 ms","37"
"cvm.sb.resource.bridge.CallExecutor.$createCallSiteArray()","7.0661295E-4","0.079 ms","2"
"cvm.sb.manager.SignalInstance.getVariable(String)","7.0661295E-4","0.079 ms","25"
"cvm.sb.policy.PolicyRequest.getPolicyContext()","6.708351E-4","0.075 ms","3"
"cvm.sb.expression.ValueEvaluator$_evaluate_closure1.$getCallSiteArray()","6.708351E-4","0.075 ms","25"
"cvm.ncb.adapters.MockAdapter.destroySession(String)","6.618906E-4","0.074 ms","1"
"cvm.sb.expression.ContextProviderWrapper$_wrap_closure1.$getCallSiteArray()","6.618906E-4","0.074 ms","16"
"cvm.sb.state.StateTypeManager.getObjectInternal(Object)","6.618906E-4","0.074 ms","7"
"cvm.ncb.adapters.NCBBridgeBase.addAParticipant(String, String)","6.618906E-4","0.074 ms","2"
"cvm.sb.expression.ConditionEvaluator$evaluate.callCurrent(groovy.lang.GroovyObject, Object, Object)","6.440017E-4","0.072 ms","7"
"cvm.sb.resource.bridge.CallExecutor.<init>(Object)","6.440017E-4","0.072 ms","12"
"cvm.sb.expression.ValueEvaluator.$createCallSiteArray()","6.440017E-4","0.072 ms","1"
"cvm.sb.resource.ResourceManager.getResource(String)","6.440017E-4","0.072 ms","3"
"cvm.sb.manager.actions.ActionSignalHandler.canHandle(cvm.sb.manager.SignalInstance)","6.350572E-4","0.071 ms","52"
"cvm.sb.expression.CombinationEvaluator$_evaluate_closure1.class$(String)","6.1716826E-4","0.069 ms","4"
"cvm.sb.expression.ContextBinder.$createCallSiteArray()","6.1716826E-4","0.069 ms","2"
"cvm.sb.expression.ContextBinder.$get$$class$java$util$Collection()","6.1716826E-4","0.069 ms","42"
"cvm.sb.emf.HandlerFactory$_createActionInstance_closure3.$getCallSiteArray()","5.9927936E-4","0.067 ms","7"
"cvm.sb.state.StateManager$getType.call(Object, Object)","5.9927936E-4","0.067 ms","7"
"cvm.sb.resource.ThreadedQueue.process(cvm.sb.manager.SignalInstance)","5.813904E-4","0.065 ms","16"
"cvm.sb.expression.ConditionEvaluator.$createCallSiteArray()","5.724459E-4","0.064 ms","2"
"cvm.sb.resource.bridge.CallExecutor.$createCallSiteArray_1(String[])","5.724459E-4","0.064 ms","2"
"cvm.sb.autonomic.ChangePlanInstance.getVariable(String)","5.635015E-4","0.063 ms","6"
"cvm.sb.autonomic.Monitor.checkSymptom(sb.base.autonomic.Symptom)","5.635015E-4","0.063 ms","8"
"cvm.sb.expression.StateTypeManagerContext$_entrySet_closure1.$getCallSiteArray()","5.54557E-4","0.062 ms","7"
"cvm.sb.expression.StateTypeManagerContext.$getCallSiteArray()","5.54557E-4","0.062 ms","16"
"cvm.sb.manager.actions.CallActionInstance.execute(cvm.sb.manager.ManagerContext, java.util.Map)","5.4561254E-4","0.061 ms","2"
"cvm.sb.expression.ContextProviderBinding.$createCallSiteArray()","5.4561254E-4","0.061 ms","2"
"cvm.sb.emf.HandlerFactory.createActionInstance(sb.base.common.EnqueueCall)","5.3666806E-4","0.06 ms","1"
"cvm.sb.expression.CombinationEvaluator$_evaluate_closure1.$createCallSiteArray()","5.277236E-4","0.059 ms","2"
"cvm.sb.policy.PolicyManager$DesiredFeaturesList.addDesiredFeature(String, String, Object, int)","5.277236E-4","0.059 ms","6"
"cvm.sb.expression.ConditionEvaluator$_evaluate_closure1.$createCallSiteArray()","5.008902E-4","0.056 ms","2"
"cvm.sb.resource.bridge.CallExecutor$_getMethod_closure1.$createCallSiteArray()","5.008902E-4","0.056 ms","2"
"cvm.ncb.oem.pe.actions.DisableFrameworkAction.execute(cvm.sb.manager.ManagerContext, java.util.Map)","4.919457E-4","0.055 ms","2"
"cvm.sb.expression.SignalLogger$getSignalInstances.call(Object, Object)","4.919457E-4","0.055 ms","7"
"cvm.sb.expression.ValueEvaluator$_evaluate_closure1.$createCallSiteArray()","4.7405678E-4","0.053 ms","2"
"cvm.sb.manager.actions.ActionCaller.getParams(cvm.sb.expression.ContextProvider)","4.6511233E-4","0.052 ms","12"
"cvm.sb.state.StateManager.getType(sb.base.context.State)","4.6511233E-4","0.052 ms","14"
"cvm.sb.state.StateHolder.set(String, Object)","4.5616785E-4","0.051 ms","4"
"cvm.sb.expression.StateTypeManagerContext.$createCallSiteArray()","4.5616785E-4","0.051 ms","2"
"cvm.sb.expression.ContextProviderWrapper.$createCallSiteArray()","4.5616785E-4","0.051 ms","2"
"cvm.sb.expression.ContextProviderWrapper$_wrap_closure1.<init>(Object, Object, groovy.lang.Reference)","4.5616785E-4","0.051 ms","5"
"cvm.sb.expression.StateTypeManagerContext$_entrySet_closure1.$createCallSiteArray()","4.472234E-4","0.05 ms","2"
"cvm.sb.manager.ManagerContext$getStateManager.call(Object)","4.472234E-4","0.05 ms","7"
"cvm.sb.manager.actions.ActionCaller.execute(cvm.sb.manager.ManagerContext, cvm.sb.expression.ContextProvider)","4.3827892E-4","0.049 ms","12"
"cvm.sb.autonomic.Executor.execute(cvm.sb.autonomic.ChangePlanInstance)","4.3827892E-4","0.049 ms","2"
"cvm.sb.expression.ContextProviderWrapper$_wrap_closure1.$createCallSiteArray()","4.2933447E-4","0.048 ms","2"
"cvm.sb.emf.HandlerFactory.$getStaticMetaClass()","4.2933447E-4","0.048 ms","2"
"cvm.sb.state.StateTypeManager.get(Object)","4.2039E-4","0.047 ms","7"
"cvm.sb.state.StateHolder.getVariable(String)","4.2039E-4","0.047 ms","10"
