"Hot Spots - Method","Self time [%]","Self time","Invocations"
"cvm.ncb.oem.pe.actions.MediumAction.enableNextFw(cvm.ncb.ks.Connection, String, cvm.ncb.csm.ManagedObject)","2.9270563E-4","0.184 ms","2"
"cvm.ncb.repository.loader.FilePolicyLoader.lookup(String, String)","2.783885E-4","0.175 ms","2"
"cvm.ncb.tpm.Touchpoint.notifyFailedFramework()","2.6884375E-4","0.169 ms","1"
"cvm.ncb.csm.ThreadedQueue.wake()","2.624806E-4","0.165 ms","9"
"cvm.ncb.oem.policy.PolicyManager.hasFeature(java.util.Collection, String, String, Object, int)","2.418003E-4","0.152 ms","6"
"cvm.ncb.csm.BridgeExecutor.class$(String)","2.3861873E-4","0.15 ms","8"
"com.intellij.rt.execution.junit.segments.SegmentedOutputStream.writeNext(String)","2.1157527E-4","0.133 ms","4"
"cvm.ncb.oem.pe.ActionSignalHandler.handle(cvm.ncb.oem.pe.Call, cvm.ncb.oem.pe.actions.ActionContext)","2.068029E-4","0.13 ms","7"
"cvm.ncb.csm.BridgeExecutor$_getMethod_closure1.class$(String)","1.8771339E-4","0.118 ms","2"
"cvm.ncb.oem.pe.actions.MediumAction.findConformingFramework(cvm.ncb.ks.Connection, String, cvm.ncb.oem.pe.PolicyEvalManager)","1.7339627E-4","0.109 ms","2"
"cvm.ncb.oem.pe.actions.ReenableMediumAction.execute(cvm.ncb.oem.pe.actions.ActionContext, cvm.ncb.oem.pe.Call)","1.686239E-4","0.106 ms","1"
"cvm.ncb.adapters.MockAdapter.createSession(String)","1.6703311E-4","0.105 ms","2"
"cvm.ncb.oem.policy.Feature.hasAttributeValue(String, Boolean, int)","1.6544231E-4","0.104 ms","3"
"cvm.ncb.adapters.MockAdapter.destroySession(String)","1.6544231E-4","0.104 ms","1"
"cvm.ncb.adapters.MockAdapter.addParticipant(String, String)","1.6385152E-4","0.103 ms","2"
"cvm.ncb.adapters.MockAdapter.enableMedium(String, String)","1.6066994E-4","0.101 ms","2"
"cvm.ncb.adapters.NCBBridgeBase.addAParticipant(String, String)","1.5907915E-4","0.1 ms","2"
"cvm.ncb.repository.loader.FilePolicyLoader.loadFeatureTree()","1.5112519E-4","0.095 ms","2"
"cvm.ncb.adapters.MockAdapter.sendSchema(String, String)","1.5112519E-4","0.095 ms","2"
"java.util.logging.LogManager$Cleaner.run()","1.479436E-4","0.093 ms","1"
"cvm.ncb.csm.ThreadedQueue.enqueue(cvm.ncb.oem.pe.Call)","1.4635282E-4","0.092 ms","9"
"cvm.ncb.ks.UserIDMappingTable.lookupContact(String, String)","1.4317123E-4","0.09 ms","4"
"cvm.ncb.csm.BridgeExecutor.$createCallSiteArray()","1.304449E-4","0.082 ms","2"
"cvm.ncb.oem.pe.actions.SendSchemaAction.execute(cvm.ncb.oem.pe.actions.ActionContext, cvm.ncb.oem.pe.Call)","1.2567252E-4","0.079 ms","1"
"cvm.ncb.oem.policy.PolicyManager.getSupperFeatures(String)","1.2567252E-4","0.079 ms","6"
"cvm.ncb.oem.policy.Feature.addAttribute(cvm.ncb.oem.policy.Attribute)","1.2408174E-4","0.078 ms","34"
"cvm.ncb.csm.BridgeExecutor$_getMethod_closure1.$createCallSiteArray()","1.2249095E-4","0.077 ms","2"
"cvm.ncb.oem.policy.Feature.hasAttributeValue(String, Integer, int)","1.1771857E-4","0.074 ms","3"
"cvm.ncb.oem.policy.Feature.getAttribute(String)","9.862907E-5","0.062 ms","6"
"cvm.ncb.oem.pe.actions.CreateSessionAction.execute(cvm.ncb.oem.pe.actions.ActionContext, cvm.ncb.oem.pe.Call)","9.3856695E-5","0.059 ms","1"
"cvm.ncb.oem.policy.Feature.<init>(String)","9.0675116E-5","0.057 ms","18"
"cvm.ncb.oem.policy.PolicyManager.reduceSet(java.util.TreeSet, cvm.ncb.oem.policy.PolicyManager.DesiredFeaturesList)","8.431195E-5","0.053 ms","2"
"cvm.ncb.ks.StateManager.getObjectInternal(String)","8.113037E-5","0.051 ms","4"
"cvm.ncb.csm.ThreadedQueue.process(cvm.ncb.oem.pe.Call)","8.113037E-5","0.051 ms","14"
"cvm.ncb.oem.policy.PolicyManager.getConformingObjects(java.util.TreeSet, String, String, java.util.Map)","7.9539575E-5","0.05 ms","2"
"cvm.ncb.csm.BridgeExecutor.$createCallSiteArray_1(String[])","7.635799E-5","0.048 ms","2"
"cvm.ncb.oem.policy.Feature.hasAttributeValue(String, Object, int)","7.317641E-5","0.046 ms","6"
"cvm.ncb.csm.ManagedObject.execute(String)","7.1585615E-5","0.045 ms","2"
"cvm.ncb.oem.policy.PolicyManager$DesiredFeaturesList.addDesiredFeature(String, String, Object, int)","7.1585615E-5","0.045 ms","4"
"cvm.ncb.oem.pe.ActionSignalHandler.canHandle(cvm.ncb.oem.pe.Call)","6.681324E-5","0.042 ms","33"
"cvm.ncb.ks.ObjectManager.getObject(String)","6.681324E-5","0.042 ms","3"
"cvm.ncb.oem.pe.actions.AddParticipantAction.execute(cvm.ncb.oem.pe.actions.ActionContext, cvm.ncb.oem.pe.Call)","6.681324E-5","0.042 ms","1"
"cvm.ncb.csm.BridgeExecutor$_getMethod_closure1.__$swapInit()","6.363166E-5","0.04 ms","1"
"cvm.ncb.repository.FilePolicyRepository.loadFeatures()","6.0450075E-5","0.038 ms","2"
"com.intellij.rt.execution.junit.segments.SegmentedOutputStream.processPacket(String)","5.8859285E-5","0.037 ms","2"
"cvm.ncb.csm.BridgeExecutor$_getMethod_closure1.<clinit>","5.408691E-5","0.034 ms","1"
"cvm.ncb.oem.pe.PolicyEvalManager$ManagerContext.<init>(cvm.ncb.oem.pe.PolicyEvalManager)","5.2496118E-5","0.033 ms","7"
"cvm.ncb.oem.pe.Call.getParam(String)","5.0905328E-5","0.032 ms","1"
"cvm.ncb.ks.UserIDMappingTable.getInstance()","4.9314534E-5","0.031 ms","4"
"cvm.ncb.adapters.Mock2Adapter.getName()","4.7723745E-5","0.03 ms","1"
"cvm.ncb.repository.policy.Policy.<init>(cvm.ncb.repository.policy.Scope, cvm.ncb.repository.policy.Condition, cvm.ncb.repository.policy.BusinessValue, cvm.ncb.repository.policy.Decision, String, String)","4.7723745E-5","0.03 ms","18"
"com.intellij.rt.execution.junit.TestMeter.stop()","4.7723745E-5","0.03 ms","1"
"cvm.ncb.oem.pe.actions.MediumAction.disableCurrentFramework(cvm.ncb.ks.Connection, cvm.ncb.csm.ManagedObject)","4.6132955E-5","0.029 ms","2"
"edu.fiu.strg.ACSTF.manager.mape.Executer.doFunction()","4.6132955E-5","0.029 ms","1"
"cvm.ncb.oem.pe.PolicyEvalManager$ManagerContext.<init>(cvm.ncb.oem.pe.PolicyEvalManager, cvm.ncb.oem.pe.PolicyEvalManager.1)","4.295137E-5","0.027 ms","7"
"cvm.ncb.csm.BridgeExecutor$_getMethod_closure1.$get$$class$cvm$ncb$csm$BridgeExecutor$_getMethod_closure1()","4.295137E-5","0.027 ms","2"
"cvm.ncb.ks.StateManager.getConnection(String)","4.1360578E-5","0.026 ms","4"
"com.intellij.rt.execution.junit.segments.Packet.encode(String)","3.9769788E-5","0.025 ms","2"
"cvm.ncb.repository.policy.Scope.<init>(String, String, String)","3.8178994E-5","0.024 ms","18"
"cvm.model.CVM_Debug.getInstance()","3.6588204E-5","0.023 ms","34"
"cvm.ncb.oem.policy.PolicyManager.convertStringToInt(String)","3.6588204E-5","0.023 ms","4"
"cvm.ncb.repository.policy.BusinessValue.<init>(String, String)","3.6588204E-5","0.023 ms","18"
"com.intellij.rt.execution.junit.segments.PacketWriter.appendLong(long)","3.6588204E-5","0.023 ms","5"
"cvm.ncb.oem.policy.PolicyManager$DesiredFeaturesList.<init>(cvm.ncb.oem.policy.PolicyManager)","3.4997414E-5","0.022 ms","2"
"cvm.ncb.oem.policy.Feature.addSubFeature(cvm.ncb.oem.policy.Feature)","3.4997414E-5","0.022 ms","16"
"cvm.ncb.repository.policy.Decision.<init>(String, String, String)","3.340662E-5","0.021 ms","18"
"cvm.ncb.ks.Connection.<init>(String)","3.181583E-5","0.02 ms","1"
"edu.fiu.strg.ACSTF.manager.mape.Planner.doFunction()","3.181583E-5","0.02 ms","1"
"com.intellij.rt.execution.junit.segments.OutputObjectRegistry.createPacket()","2.8634247E-5","0.018 ms","2"
"cvm.ncb.ks.Connection.<clinit>","2.8634247E-5","0.018 ms","1"
"com.intellij.rt.execution.junit.segments.OutputObjectRegistry.referenceTo(Object)","2.8634247E-5","0.018 ms","1"
"com.intellij.rt.execution.junit.TestMeter.usedMemory()","2.7043456E-5","0.017 ms","1"
"cvm.ncb.csm.BridgeExecutor$_getMethod_closure1.$createCallSiteArray_1(String[])","2.7043456E-5","0.017 ms","2"
"cvm.ncb.oem.pe.PolicyEvalManager$ManagerContext.getObjectManager()","2.7043456E-5","0.017 ms","3"
"cvm.ncb.repository.policy.Condition.<init>(String, String, String)","2.5452664E-5","0.016 ms","18"
"com.intellij.rt.execution.junit.segments.PacketWriter.<init>()","2.3861872E-5","0.015 ms","2"
"cvm.ncb.csm.BridgeExecutor.__$swapInit()","2.3861872E-5","0.015 ms","1"
"cvm.ncb.csm.ManagedObject.execute(cvm.ncb.oem.pe.Call)","2.227108E-5","0.014 ms","7"
"com.intellij.rt.execution.junit.segments.Packet.<init>(com.intellij.rt.execution.junit.segments.PacketProcessor, com.intellij.rt.execution.junit.segments.OutputObjectRegistry)","2.227108E-5","0.014 ms","2"
"com.intellij.rt.execution.junit.segments.Packet.addReference(String)","2.227108E-5","0.014 ms","1"
"com.intellij.rt.execution.junit.segments.PacketWriter.sendThrough(com.intellij.rt.execution.junit.segments.PacketProcessor)","2.0680289E-5","0.013 ms","2"
"com.intellij.rt.execution.junit.segments.OutputObjectRegistry.forget(Object)","1.9089497E-5","0.012 ms","1"
"cvm.ncb.csm.BridgeExecutor.$get$$class$org$apache$commons$logging$Log()","1.9089497E-5","0.012 ms","1"
"cvm.ncb.oem.pe.Call.<init>(String, java.util.Map)","1.9089497E-5","0.012 ms","7"
"cvm.ncb.ks.Connection.setFramework(cvm.ncb.csm.ManagedObject)","1.9089497E-5","0.012 ms","2"
"edu.fiu.strg.ACSTF.resource.AbstractResource.<init>()","1.9089497E-5","0.012 ms","7"
"cvm.ncb.csm.BridgeExecutor.$get$$class$org$apache$commons$logging$LogFactory()","1.9089497E-5","0.012 ms","1"
"cvm.ncb.oem.policy.Attribute.<init>(String, String)","1.9089497E-5","0.012 ms","34"
"com.intellij.rt.execution.junit.segments.Packet.setTestState(Object, int)","1.5907915E-5","0.01 ms","1"
"com.intellij.rt.execution.junit.segments.Packet.addObject(Object)","1.5907915E-5","0.01 ms","1"
"cvm.ncb.ks.UserIDMappingTable.<init>()","1.5907915E-5","0.01 ms","1"
"com.intellij.rt.execution.junit.segments.PacketWriter.appendString(String)","1.4317124E-5","0.0090 ms","3"
"edu.fiu.strg.ACSTF.manager.knowledge.ChangeRequest.<init>(String)","1.4317124E-5","0.0090 ms","1"
"cvm.ncb.adapters.NCBBridgeBase.getUserMapper()","1.113554E-5","0.0070 ms","2"
"cvm.ncb.adapters.MockAdapter.getName()","1.113554E-5","0.0070 ms","1"
"com.intellij.rt.execution.junit.TestMeter.writeTo(com.intellij.rt.execution.junit.segments.Packet)","9.5447485E-6","0.0060 ms","1"
"com.intellij.rt.execution.junit.segments.PacketWriter.getString()","9.5447485E-6","0.0060 ms","2"
"com.intellij.rt.execution.junit.segments.Packet.addString(String)","7.953958E-6","0.0050 ms","2"
"com.intellij.rt.execution.junit.segments.Packet.addLong(long)","7.953958E-6","0.0050 ms","5"
"com.intellij.rt.execution.junit.segments.Packet.send()","4.7723743E-6","0.0030 ms","2"
"cvm.ncb.oem.policy.Metadata.fail()","3.181583E-6","0.0020 ms","1"
"edu.fiu.strg.ACSTF.manager.knowledge.Symptom.disable()","0.0","0.0 ms","1"
"sun.rmi.transport.tcp.TCPTransport$ConnectionHandler.run()","0.0","0.0 ms","1"
"java.lang.ApplicationShutdownHooks$1.run()","0.0","0.0 ms","1"
"edu.fiu.strg.ACSTF.manager.knowledge.Knowledge.dequeueChangeRequest()","0.0","0.0 ms","1"
"edu.fiu.strg.ACSTF.manager.knowledge.Knowledge.dequeueChangePlan()","0.0","0.0 ms","1"
